object_id,time,streamflow,oxygen_isotope_streamflow,precipitation,oxygen_isotope_precipitation,relative_humidity,temperature
Erlenbach,2015-06-19 00:00,9.67,-9.77,1.46,-7.19,81.736805556,9.83
Erlenbach,2015-06-20 00:00,11.1,-10.01,25.12,-2.39,92.584027778,7.38
Erlenbach,2015-06-21 00:00,8.72,-10.18,18.65,-9.48,86.579861111,9.94
Erlenbach,2015-06-22 00:00,23.12,-9.89,35.66,-6.39,71.647916667,12.6
Erlenbach,2015-06-23 00:00,15.16,-9.74,6.94,-8.13,90.102777778,7.21
Erlenbach,2015-06-24 00:00,2.48,-10.42,0,-9.04,76.585416667,10.6
Erlenbach,2015-06-25 00:00,1.32,-10.78,0,-6.8575,70.888194444,13
Erlenbach,2015-06-26 00:00,0.93,-10.9,0,-4.675,60.954861111,15.2
Erlenbach,2015-06-27 00:00,0.79,-10.97,1.26,-2.4925,70.141666667,15.7
Erlenbach,2015-06-28 00:00,0.64,-10.91,0,-0.31,68.417361111,15.2
Erlenbach,2015-06-29 00:00,0.48,-11.03,0,-0.542857142857143,63.102777778,16.2
Erlenbach,2015-06-30 00:00,0.42,-11.07,0,-0.775714285714286,59.678472222,19
Erlenbach,2015-07-01 00:00,0.37,-10.93,0,-1.00857142857143,58.35,21.6
Erlenbach,2015-07-02 00:00,0.33,-10.94,0,-1.24142857142857,56.425694444,23
Erlenbach,2015-07-03 00:00,0.29,-10.86,0,-1.47428571428571,53.541666667,23.2
Erlenbach,2015-07-04 00:00,0.25,-10.84,0,-1.70714285714286,51.61875,23.3
Erlenbach,2015-07-05 00:00,0.24,-10.8,3.86,-1.94,51.730555556,24
Erlenbach,2015-07-06 00:00,0.28,-10.66,0.01,-2.7,78.616666667,20.2
Erlenbach,2015-07-07 00:00,0.33,-10.64,10.83,-3.46,57.548611111,23.3
Erlenbach,2015-07-08 00:00,0.72,-9.79,5.4,-4.27,82.522916667,12.8
Erlenbach,2015-07-09 00:00,0.3,-9.74,0,-4.21888888888889,72.160416667,11.5
Erlenbach,2015-07-10 00:00,0.22,-9.85,0,-4.16777777777778,66.307638889,15.4
Erlenbach,2015-07-11 00:00,0.18,-9.86,0,-4.11666666666667,51.372916667,19.3
